id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;id_reservatorio;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
SE;Sudeste/Centro-Oeste;RCU;AMAZONAS;MADEIRA;AMSU;SAMUEL;7.0;279.0;2025-01-01;81.69000244140625;53.27000045776367;12.449999809265137;594.8800048828125;179.0;0.0;;179.0;;456.8500061035156;;456.8500061035156;4.038000106811523;0.3944999873638153;599.3099975585938
SE;Sudeste/Centro-Oeste;RCU;AMAZONAS;MADEIRA;AMUHRD;RONDON II;8.0;276.0;2025-01-01;264.8900146484375;204.89999389648438;29.360000610351562;73.30000305175781;93.0;0.0;24.0;117.0;;79.4800033569336;;79.4800033569336;0.9679999947547913;0.2745000123977661;74.54000091552734
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;MADEIRA;AMDA;DARDANELOS;9.0;310.0;2025-01-01;213.49000549316406;114.47000122070312;-4.579999923706055;267.8999938964844;215.0;53.0;0.0;268.0;0.0;268.1000061035156;;268.1000061035156;0.004000000189989805;0.19449999928474426;268.1000061035156
SE;Sudeste/Centro-Oeste;RCU;AMAZONAS;TELES PIRES;AMSNPE;SINOP;12.0;227.0;2025-01-01;296.4700012207031;272.1199951171875;35.47999954223633;1423.8299560546875;508.0;0.0;0.0;508.0;0.0;1256.699951171875;;1256.699951171875;0.0;3.6970999240875244;1427.530029296875
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;TELES PIRES;AMCLR;COLIDER;13.0;228.0;2025-01-01;271.7699890136719;249.3300018310547;61.66999816894531;540.7000122070312;641.0;143.0;9.0;784.0;;1288.52001953125;;116.73999786376953;0.0;3.6970999240875244;17.270000457763672
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;TELES PIRES;AMUHTP;TELES PIRES;14.0;229.0;2025-01-01;220.39999389648438;162.35000610351562;91.63999938964844;2597.659912109375;1058.0;1591.0;;2649.0;;1804.2900390625;;874.989990234375;2.561000108718872;3.7516000270843506;1810.449951171875
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;TELES PIRES;AMUSMA;SAO MANOEL;15.0;230.0;2025-01-01;161.35000610351562;137.3800048828125;93.61000061035156;1283.02001953125;1333.0;0.0;;1333.0;;1783.9200439453125;;7.949999809265137;0.0;3.7516000270843506;-1332.06005859375
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;DCUHEC;CANDONGA;23.0;139.0;2025-01-01;327.5;280.4599914550781;100.0;327.0;266.0;61.0;2.0;327.0;;366.2699890136719;;366.2699890136719;-0.039000000804662704;0.7400000095367432;327.70001220703125
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;PCGAMO;GUILM. AMORIM;24.0;192.0;2025-01-01;494.7900085449219;377.989990234375;92.30999755859375;127.87000274658203;127.0;7.0;2.0;134.0;;125.08999633789062;;125.08999633789062;-0.012000000104308128;0.5799999833106995;128.42999267578125
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;DCSCAR;SA CARVALHO;25.0;193.0;2025-01-01;372.760009765625;257.739990234375;85.70999908447266;137.8800048828125;45.0;93.0;;138.0;;135.11000061035156;;2.809999942779541;-0.0020000000949949026;0.5799999833106995;-1.4500000476837158
